channel_id,video_id,video_url,title,published_at,duration,duration_seconds,tags,description,view_count,like_count,comment_count,has_ad_keywords,matched_ad_keywords,has_external_links,external_links_count,external_links,is_short
UCt7sv-NKh44rHAEb-qCCxvA,ZUU3OIfSRNE,https://www.youtube.com/watch?v=ZUU3OIfSRNE,"Умные шахматы, где фигуры движутся сами! Магия!",2026-03-19 16:20:59+00:00,15m 9s,909,"['iPhone', 'Apple', 'wylsa', 'Wylsacom', 'Айфон', 'Вилса', 'Вилсаком', 'Wilsacom', 'Wylsakom', 'сравнение', 'телефон', 'смарфтон', 'про']","Лимитированный игровой ноутбук MSI Titan Dragon Edition 18 в Технопарке — https://clck.ru/3Sdtu3  Телеграм Wylsacom - https://t.me/Wylsared Канал ВК Видео: https://vkvideo.ru/@wylsacom Наш YouTube канал: https://youtube.com/wylsacom Канал про автомобили - https://t.me/ai100ru MAX канал - https://max.ru/WylsacomRed Сайт - http://wylsa.com Группа VK - https://vk.com/wylsacom  Ролик содержит рекламную интеграцию! Реклама. ООО ""ТЕХНОПАРК-ЦЕНТР». ИНН 7715631511 Erid: 2RanykjKsPp",13018,1458,104,True,['реклама'],True,8,"['https://clck.ru/3Sdtu3', 'https://t.me/Wylsared', 'https://vkvideo.ru/@wylsacom', 'https://youtube.com/wylsacom', 'https://t.me/ai100ru', 'https://max.ru/WylsacomRed', 'http://wylsa.com', 'https://vk.com/wylsacom']",False
UCt7sv-NKh44rHAEb-qCCxvA,pZSK9k7RdpA,https://www.youtube.com/watch?v=pZSK9k7RdpA,"Посылки из Китая: ОЧЕНЬ дорогой регистратор, Mac 1984 и вилочный погрузчик!",2026-03-17 15:20:53+00:00,21m 16s,1276,"['iPhone', 'Apple', 'wylsa', 'Wylsacom', 'Айфон', 'Вилса', 'Вилсаком', 'Wilsacom', 'Wylsakom', 'сравнение', 'телефон', 'смарфтон', 'про']",Илья в Телеграме — https://t.me/kazakof Наши старые друзья из Big Geek. За техникой к ним — https://biggeek.ru   Нож-коготь — https://aliexpress.ru/item/1005008634464267.html?sku_id=12000046037458001  Макинтош с будильником — https://aliexpress.ru/item/1005010616425395.html?sku_id=12000052982417223 Великий видеорегистратор 4К — https://aliexpress.ru/item/1005008243344496.html?sku_id=12000053129657201 Шуруповерт дяди Жени — https://aliexpress.ru/item/1005009825271070.html?sku_id=12000050290985046 Вилочный погрузчик на д/у — https://aliexpress.ru/item/1005010554531074.html?sku_id=12000052795462139 Нож Petrified Fish — https://aliexpress.ru/item/1005007195269876.html?sku_id=12000039767269597   Телеграм Wylsacom - https://t.me/Wylsared Группа VK - https://vk.com/wylsacom Канал про автомобили - https://t.me/ai100ru Канал в Max - https://max.ru/WylsacomRed Сайт - http://wylsa.com  Реклама. ООО «БИГГИК» erid: 2SDnjetq5Cm,122067,2621,169,True,['реклама'],True,13,"['https://t.me/kazakof', 'https://biggeek.ru', 'https://aliexpress.ru/item/1005008634464267.html?sku_id=12000046037458001', 'https://aliexpress.ru/item/1005010616425395.html?sku_id=12000052982417223', 'https://aliexpress.ru/item/1005008243344496.html?sku_id=12000053129657201', 'https://aliexpress.ru/item/1005009825271070.html?sku_id=12000050290985046', 'https://aliexpress.ru/item/1005010554531074.html?sku_id=12000052795462139', 'https://aliexpress.ru/item/1005007195269876.html?sku_id=12000039767269597', 'https://t.me/Wylsared', 'https://vk.com/wylsacom', 'https://t.me/ai100ru', 'https://max.ru/WylsacomRed', 'http://wylsa.com']",False
UCt7sv-NKh44rHAEb-qCCxvA,KF73tDDafwk,https://www.youtube.com/watch?v=KF73tDDafwk,Посылка от подписчика для Wylsacom и его большого аппарата!,2026-03-17 11:42:15+00:00,1m 29s,89,[],,204982,4081,68,False,[],False,0,[],False
UCt7sv-NKh44rHAEb-qCCxvA,Ij5lid7NzXo,https://www.youtube.com/watch?v=Ij5lid7NzXo,Когда тест пошёл не по плану!,2026-03-15 09:58:57+00:00,22s,22,[],,636113,6446,131,False,[],False,0,[],True
UCt7sv-NKh44rHAEb-qCCxvA,Wh6Tz00KpbQ,https://www.youtube.com/watch?v=Wh6Tz00KpbQ,Новый MacBook Neo vs. игры. Бессмысленно и беспощадно!,2026-03-14 15:14:26+00:00,13m 17s,797,"['iPhone', 'Apple', 'wylsa', 'Wylsacom', 'Айфон', 'Вилса', 'Вилсаком', 'Wilsacom', 'Wylsakom', 'сравнение', 'телефон', 'смарфтон', 'про', 'macbook neo', 'игры на mac']",Илья в Телеграме — https://t.me/kazakof Наши старые друзья из Big Geek. За техникой к ним — https://biggeek.ru   Телеграм Wylsacom - https://t.me/Wylsared Канал ВК Видео: https://vkvideo.ru/@wylsacom Наш YouTube канал: https://youtube.com/wylsacom Канал про автомобили - https://t.me/ai100ru MAX канал - https://max.ru/WylsacomRed Сайт - http://wylsa.com Группа VK - https://vk.com/wylsacom  Реклама. ООО «БИГГИК» erid:  2SDnjeG6u9K,241578,5639,482,True,['реклама'],True,9,"['https://t.me/kazakof', 'https://biggeek.ru', 'https://t.me/Wylsared', 'https://vkvideo.ru/@wylsacom', 'https://youtube.com/wylsacom', 'https://t.me/ai100ru', 'https://max.ru/WylsacomRed', 'http://wylsa.com', 'https://vk.com/wylsacom']",False
UCt7sv-NKh44rHAEb-qCCxvA,gG6LnPjDrmY,https://www.youtube.com/watch?v=gG6LnPjDrmY,Царское стекло от Wylsacom для твоего iPhone. Тест молотком!,2026-03-14 12:21:00+00:00,11s,11,[],,878086,5123,199,False,[],False,0,[],True
UCt7sv-NKh44rHAEb-qCCxvA,9-nLENpBHrY,https://www.youtube.com/watch?v=9-nLENpBHrY,ЭКСКЛЮЗИВ: Распаковка первого Яндекс-автомобиля UMO 5!,2026-03-13 16:00:34+00:00,20m 5s,1205,"['iPhone', 'Apple', 'wylsa', 'Wylsacom', 'Айфон', 'Вилса', 'Вилсаком', 'Wilsacom', 'Wylsakom', 'сравнение', 'телефон', 'смарфтон', 'про']","Производитель машины — компания EVM (ЭМ Рус (Электромобили Мануфэкчуринг Рус), а Яндекс Электро является технологическим и дистрибуционным партнером. Что получилось из такого партнёрства? Смотрим на новинку для нашего рынка — UMO 5.   Телеграм Wylsacom - https://t.me/Wylsared Группа VK - https://vk.com/wylsacom Канал про автомобили - https://t.me/ai100ru Канал в Max - https://max.ru/WylsacomRed Сайт - http://wylsa.com",237592,7483,1135,False,[],True,5,"['https://t.me/Wylsared', 'https://vk.com/wylsacom', 'https://t.me/ai100ru', 'https://max.ru/WylsacomRed', 'http://wylsa.com']",False
UCt7sv-NKh44rHAEb-qCCxvA,jx_FKIAdbqE,https://www.youtube.com/watch?v=jx_FKIAdbqE,Вот это MacBook Neo!,2026-03-13 09:59:18+00:00,1m 37s,97,[],,256762,2519,123,False,[],False,0,[],False
UCt7sv-NKh44rHAEb-qCCxvA,qOBrXqt7GWo,https://www.youtube.com/watch?v=qOBrXqt7GWo,iPhone 17e - распаковал розовый и всё понял!,2026-03-12 17:04:22+00:00,20m 45s,1245,"['iPhone', 'Apple', 'wylsa', 'Wylsacom', 'Айфон', 'Вилса', 'Вилсаком', 'Wilsacom', 'Wylsakom', 'сравнение', 'телефон', 'смарфтон', 'про']","Выгода 10% по промокоду WYLSA на кофемашины Jura*. Применить можно в магазинах и на сайте Технопарка: https://clck.ru/3SWEZv   * в предложении участвуют следующие модели: — Jura S8 Piano Black — Jura Ena 8 Full Nordic White — Jura E8 Dark Inox — Jura E8 Piano Black  Спасибо Биггик за iPhone – https://biggeek.ru  Лучшие стекла для iPhone ""Царские стекла"" https://tsar.wylsa.com/?utm_source=youtube&utm_medium=integration&utm_campaign=tsar_steklo&utm_content=wylsacom  Лучшие MagSafe-кошельки WYSION https://wysionbrand.com   Телеграм Wylsacom - https://t.me/Wylsared Канал ВК Видео: https://vkvideo.ru/@wylsacom Наш YouTube канал:    / wylsacom   Канал про автомобили - https://t.me/ai100ru MAX канал - https://max.ru/WylsacomRed Сайт - http://wylsa.com Группа VK - https://vk.com/wylsacom  Ролик содержит рекламную интеграцию! Реклама. ООО ""ТЕХНОПАРК-ЦЕНТР». ИНН 7715631511 Erid: 2Ranymgfcti Реклама. ООО Царские аксессуары ИНН 9710138338 erid: 2SDnjeLUq4M Реклама. ООО ""БИГГИК"" erid: 2SDnjcSnRAh Реклама. Wysionbrand.com erid: 2SDnjda2D3o",406847,9135,669,True,"['реклама', 'промокод']",True,10,"['https://clck.ru/3SWEZv', 'https://biggeek.ru', 'https://tsar.wylsa.com/?utm_source=youtube&utm_medium=integration&utm_campaign=tsar_steklo&utm_content=wylsacom', 'https://wysionbrand.com', 'https://t.me/Wylsared', 'https://vkvideo.ru/@wylsacom', 'https://t.me/ai100ru', 'https://max.ru/WylsacomRed', 'http://wylsa.com', 'https://vk.com/wylsacom']",False
UCt7sv-NKh44rHAEb-qCCxvA,pYvF9sMwd8A,https://www.youtube.com/watch?v=pYvF9sMwd8A,РАСПАКОВКА MACBOOK NEO - ВСЕ ЦВЕТА!,2026-03-11 22:49:32+00:00,16m 58s,1018,"['iPhone', 'Apple', 'wylsa', 'Wylsacom', 'Айфон', 'Вилса', 'Вилсаком', 'Wilsacom', 'Wylsakom', 'сравнение', 'телефон', 'смарфтон', 'про', 'макбук', 'macbook', 'neo', 'нео', 'macbook neo', 'A18 Pro']","Лучший магазин гаджетов: https://biggeek.ru  Розыгрыш MacBook Neo совместно с каналом Костыль: https://max.ru/WylsacomRed/AZzezD_GNio  Лучшие стекла для iPhone ""Царские стекла"": https://tsar.wylsa.com/?utm_source=youtube&utm_medium=integration&utm_campaign=tsar_steklo&utm_content=wylsacom  Обзор ""Царских стекол"" https://www.youtube.com/watch?v=wAejY0_4-40&t=572s   Телеграм Wylsacom - https://t.me/Wylsared Канал ВК Видео: https://vkvideo.ru/@wylsacom Наш YouTube канал: https://YouTube.com/Wylsacom Канал про автомобили - https://t.me/ai100ru MAX канал - https://max.ru/WylsacomRed Сайт - http://wylsa.com Группа VK - https://vk.com/wylsacom  Ролик содержит рекламную интеграцию! Реклама. ООО ""БИГГИК"" erid: 2SDnjbrUcCR Реклама. https://max.ru/kostylofficial erid: 2SDnjdYKTKF Реклама. ООО Царские аксессуары ИНН 9710138338 erid: 2SDnjc1NCQZ",432894,10750,787,True,['реклама'],True,12,"['https://biggeek.ru', 'https://max.ru/WylsacomRed/AZzezD_GNio', 'https://tsar.wylsa.com/?utm_source=youtube&utm_medium=integration&utm_campaign=tsar_steklo&utm_content=wylsacom', 'https://www.youtube.com/watch?v=wAejY0_4-40&t=572s', 'https://t.me/Wylsared', 'https://vkvideo.ru/@wylsacom', 'https://YouTube.com/Wylsacom', 'https://t.me/ai100ru', 'https://max.ru/WylsacomRed', 'http://wylsa.com', 'https://vk.com/wylsacom', 'https://max.ru/kostylofficial']",False
